"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"II","II","II","","","",0,*,"","","","","II","Supporting logical model generated from gloo4.xmi (source class: II).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"INT","INT","INT","","","",0,*,"","","","","INT","Supporting logical model generated from gloo4.xmi (source class: INT).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"IVL-PQ","IVL-PQ","IVL-PQ","","","",0,*,"","","","","IVL<PQ>","Supporting logical model generated from gloo4.xmi (source class: IVL<PQ>).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Informationsmodell","Informationsmodell","Informationsmodell","","","",0,*,"","","","","Informationsmodell","Root logical model generated from gloo4.xmi (source class: Informationsmodell).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"KV-befattning","KV-befattning","KV-befattning","","","",0,*,"","","","","KV befattning","Supporting logical model generated from gloo4.xmi (source class: KV befattning).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"KV-kon","KV-kon","KV-kon","","","",0,*,"","","","","KV kön","Supporting logical model generated from gloo4.xmi (source class: KV kön).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Kontaktinformation","Kontaktinformation","Kontaktinformation","","","",0,*,"","","","null {[]} {[]}
","Kontaktinformation","Supporting logical model generated from gloo4.xmi (source class: Kontaktinformation).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Kontaktinformation","Kontaktinformation.text","Kontaktinformation.text","","","",1,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/ST {[]} {[]}
","Source attribute: text","Source attribute: text","","","","","","","","","",,,,,"",,,,"Kontaktinformation.text",1,1,"",""
"Kontaktinformation","Kontaktinformation.innehaller","Kontaktinformation.innehaller","","","",1,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Laboratoriesvar-Dokument {[]} {[]}
","Source attribute: innehåller","Source attribute: innehåller","","","","","","","","","",,,,,"",,,,"Kontaktinformation.innehaller",1,1,"",""
"Kopiemottagande-enhet","Kopiemottagande-enhet","Kopiemottagande-enhet","","","",0,*,"","","","null {[]} {[]}
","Kopiemottagande enhet","Supporting logical model generated from gloo4.xmi (source class: Kopiemottagande enhet).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Kopiemottagande-enhet","Kopiemottagande-enhet.tarEmotKopiaAv","Kopiemottagande-enhet.tarEmotKopiaAv","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Remissvar-Dokument-inom-halso--och-sjukvard {[]} {[]}
","Source attribute: tar emot kopia av","Source attribute: tar emot kopia av","","","","","","","","","",,,,,"",,,,"Kopiemottagande-enhet.tarEmotKopiaAv",0,1,"",""
"Kopiemottagande-enhet","Kopiemottagande-enhet.arEn","Kopiemottagande-enhet.arEn","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Organisatorisk-enhet-Organisation-inom-halso--och-sjukv {[]} {[]}
","Source attribute: är en","Source attribute: är en","","","","","","","","","",,,,,"",,,,"Kopiemottagande-enhet.arEn",0,1,"",""
"Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard","Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard","Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard","","","",0,*,"","","","null {[]} {[]}
","Laboratorieanalys : Aktivitet (inom hälso- och sjukvård)","Supporting logical model generated from gloo4.xmi (source class: Laboratorieanalys : Aktivitet (inom hälso- och sjukvård)).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard","Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard.arEn","Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard.arEn","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Fordjupad-analys {[]} {[]}
","Source attribute: är en","Source attribute: är en","","","","","","","","","",,,,,"",,,,"Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard.arEn",0,1,"",""
"Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard","Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard.arResultatAv","Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard.arResultatAv","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Laboratorieanalysresultat-Observerat-halsotillstand {[]} {[]}
","Source attribute: är resultat av","Source attribute: är resultat av","","","","","","","","","",,,,,"",,,,"Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard.arResultatAv",0,1,"",""
"Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard","Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard.utforsPa","Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard.utforsPa","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Prov-Resurs-inom-halso--och-sjukvard {[]} {[]}
","Source attribute: utförs på","Source attribute: utförs på","","","","","","","","","",,,,,"",,,,"Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard.utforsPa",0,1,"",""
"Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard","Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard.utforsInomEn","Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard.utforsInomEn","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Laboratoriedisciplin {[]} {[]}
","Source attribute: utförs inom en","Source attribute: utförs inom en","","","","","","","","","",,,,,"",,,,"Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard.utforsInomEn",0,1,"",""
"Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard","Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard.utfor","Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard.utfor","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Utforande-enhet-Organisation-inom-halso--och-sjukvard {[]} {[]}
","Source attribute: utför","Source attribute: utför","","","","","","","","","",,,,,"",,,,"Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard.utfor",0,1,"",""
"Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard","Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard.avserBegaranOmUtforandeAvEnEllerFlera","Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard.avserBegaranOmUtforandeAvEnEllerFlera","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Remiss-Dokument-inom-halso--och-sjukvard {[]} {[]}
","Source attribute: avser begäran om utförande av en eller flera","Source attribute: avser begäran om utförande av en eller flera","","","","","","","","","",,,,,"",,,,"Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard.avserBegaranOmUtforandeAvEnEllerFlera",0,1,"",""
"Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard","Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard.grupperar","Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard.grupperar","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/Analysgrupp-2 {[]} {[]}
","Source attribute: grupperar","Source attribute: grupperar","","","","","","","","","",,,,,"",,,,"Laboratorieanalys-Aktivitet-inom-halso--och-sjukvard.grupperar",0,1,"",""
"Laboratorieanalys-Aktivitet","Laboratorieanalys-Aktivitet","Laboratorieanalys-Aktivitet","","","",0,*,"","","","null {[]} {[]}
","Laboratorieanalys : Aktivitet","Supporting logical model generated from gloo4.xmi (source class: Laboratorieanalys : Aktivitet).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Laboratorieanalys-Aktivitet","Laboratorieanalys-Aktivitet.-id","Laboratorieanalys-Aktivitet._id","","","",0,1,"","","","http://example.org/fhir/xmi-to-fsh/StructureDefinition/II {[]} {[]}
","Source attribute: id; renamed from reserved FSH name 'id'","Source attribute: id; renamed from reserved FSH name 'id'","","","","","","","","","",,,,,"",,,,"Laboratorieanalys-Aktivitet._id",0,1,"",""
